description,protein,carbohydrate,fat_total_lipid,vitamin_c,iron,calcium,lowcarb,vegan,keto,highprotein
"Hummus, commercial",7.35,14.9,,0.0,2.41,41.0,True,True,False,False
"Tomatoes, grape, raw",0.83,5.51,,27.2,0.33,11.0,True,True,False,False
"Beans, snap, green, canned, regular pack, drained solids",1.04,4.11,,,0.78,36.0,True,True,False,False
"Frankfurter, beef, unheated",11.7,2.89,,,1.14,15.0,True,False,True,True
"Nuts, almonds, dry roasted, with salt added",20.4,16.2,,0.0,3.17,273.0,False,True,False,True
"Kale, raw",2.92,4.42,,93.4,1.6,254.0,True,True,False,False
"Egg, whole, raw, frozen, pasteurized",12.3,0.91,,,1.77,55.0,True,False,False,True
"Egg, white, raw, frozen, pasteurized",10.1,0.74,,,0.18,9.0,True,False,False,True
"Egg, white, dried",79.9,6.02,,,0.0,104.0,True,False,False,True
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",4.52,36.3,,1.6,1.14,28.0,False,True,False,False
"Pickles, cucumber, dill or kosher dill",0.48,1.99,,2.1,0.23,54.0,True,True,False,False
"Cheese, parmesan, grated",29.6,12.4,,,0.45,884.0,True,False,False,True
"Cheese, pasteurized process, American, vitamin D fortified",18.0,5.27,,,0.48,866.0,True,False,True,True
"Grapefruit juice, white, canned or bottled, unsweetened",0.55,7.59,,39.4,0.07,16.0,True,True,True,False
"Peaches, yellow, raw",0.91,10.1,,4.1,0.34,4.0,True,True,False,False
"Seeds, sunflower seed kernels, dry roasted, with salt added",21.0,17.1,,0.0,5.21,78.0,False,True,False,True
"Bread, white, commercially prepared",9.43,49.2,,,3.36,211.0,False,True,False,True
"Kale, frozen, cooked, boiled, drained, without salt",2.94,5.3,,17.8,0.84,150.0,True,True,False,False
"Mustard, prepared, yellow",4.25,5.3,,0.4,1.59,63.0,True,True,False,False
"Kiwifruit, green, raw",1.06,14.0,,74.7,0.24,35.0,True,True,False,False
"Nectarines, raw",1.06,9.18,,2.9,0.3,2.0,True,True,False,False
"Cheese, cheddar",23.3,2.44,,,0.16,707.0,True,False,True,True
"Cheese, cottage, lowfat, 2% milkfat",11.0,4.31,,,0.13,103.0,True,False,False,True
"Cheese, mozzarella, low moisture, part-skim",23.7,4.44,,,0.2,693.0,True,False,False,True
"Egg, whole, dried",48.1,1.87,,,6.97,220.0,True,False,False,True
"Egg, yolk, raw, frozen, pasteurized",15.6,0.59,,,4.13,119.0,True,False,True,True
"Egg, yolk, dried",34.2,1.07,,,9.28,270.0,True,False,True,True
"Yogurt, Greek, plain, nonfat",10.3,3.64,,,0.07,111.0,True,False,False,True
"Yogurt, Greek, strawberry, nonfat",8.06,12.2,,0.2,0.09,97.0,True,False,False,True
"Oil, coconut",0.0,0.84,,,0.05,1.0,True,True,True,False
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",23.9,0.0,,,0.94,12.0,True,False,False,True
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",32.1,0.0,,,0.49,6.0,True,False,False,True
"Sauce, pasta, spaghetti/marinara, ready-to-serve",1.41,8.05,,,0.78,27.0,True,True,True,False
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",16.7,0.27,,,0.58,5.0,True,False,False,True
"Olives, green, Manzanilla, stuffed with pimiento",1.15,4.96,,0.0,0.31,121.0,True,True,True,False
"Cookies, oatmeal, soft, with raisins",5.79,69.6,,,2.28,29.0,False,True,False,False
"Tomatoes, canned, red, ripe, diced",0.84,3.32,,,0.57,30.0,True,True,False,False
"Fish, haddock, raw",16.3,0.0,,,0.17,11.0,True,False,False,True
"Fish, pollock, raw",12.3,0.0,,0.0,0.22,15.0,True,False,False,True
"Fish, tuna, light, canned in water, drained solids",19.0,0.08,,,1.67,18.0,True,False,False,True
"Restaurant, Chinese, fried rice, without meat",3.84,32.5,,,0.46,11.0,False,True,False,False
"Restaurant, Latino, tamale, pork",7.38,15.8,,,0.87,75.0,False,False,False,False
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",5.59,31.5,,,1.46,51.0,False,True,False,False
"Bread, whole-wheat, commercially prepared",12.3,43.1,,,2.56,163.0,False,True,False,True
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",27.7,0.0,,,3.04,13.0,True,False,False,True
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",22.8,0.0,,,1.9,15.0,True,False,False,True
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.4,0.0,,,1.37,13.0,True,False,False,True
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.7,0.0,,,2.34,13.0,True,False,False,True
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",22.7,0.0,,,2.26,19.0,True,False,False,True
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",27.3,0.0,,,3.53,19.0,True,False,False,True
"Carrots, frozen, unprepared",0.81,7.92,,2.2,0.43,33.0,True,True,False,False
"Cheese, dry white, queso seco",24.5,2.07,,,0.18,661.0,True,False,False,True
"Cheese, ricotta, whole milk",7.81,6.86,,,0.1,224.0,True,False,True,False
"Cheese, swiss",27.0,1.44,,,0.13,890.0,True,False,True,True
"Figs, dried, uncooked",3.3,63.9,,1.2,2.03,162.0,False,True,False,False
"Lettuce, cos or romaine, raw",1.24,3.24,,4.6,0.95,35.0,True,True,False,False
"Melons, cantaloupe, raw",0.82,8.16,,10.9,0.38,9.0,True,True,False,False
"Oranges, raw, navels",0.91,11.8,,59.1,0.33,43.0,True,True,False,False
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.38,5.18,,,0.0,126.0,True,False,False,False
"Pears, raw, bartlett",0.38,15.1,,4.4,0.17,8.0,False,True,False,False
"Restaurant, Chinese, sweet and sour pork",8.88,25.5,,2.3,3.07,46.0,False,False,False,True
"Salt, table, iodized",0.0,0.0,,,0.0,50.0,True,True,False,False
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.43,4.92,,,0.0,132.0,True,False,False,False
"Sauce, salsa, ready-to-serve",1.44,6.74,,,0.42,28.0,True,True,False,False
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.36,4.9,,,0.0,126.0,True,False,False,False
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",13.3,3.37,,19.2,1.55,35.0,True,False,True,True
"Sausage, Italian, pork, mild, cooked, pan-fried",18.2,2.15,,,1.29,12.0,True,False,True,True
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",19.3,2.63,,,2.34,37.0,True,False,True,True
"Milk, whole, 3.25% milkfat, with added vitamin D",3.27,4.63,,,0.0,123.0,True,False,False,False
"Sausage, turkey, breakfast links, mild, raw",16.7,0.93,,,1.17,32.0,True,False,False,True
"Sugars, granulated",0.0,99.6,,,0.05,1.0,False,True,False,False
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",27.1,0.0,,,1.56,31.0,True,False,False,True
"Ham, sliced, restaurant",19.6,2.36,,,0.86,6.0,True,False,False,True
"Cheese, American, restaurant",17.5,6.35,,,0.24,508.0,True,False,True,True
"Beans, Dry, Medium Red (0% moisture)",25.5,0.0,,,6.27,193.0,True,True,False,True
"Beans, Dry, Red (0% moisture)",21.3,0.0,,,5.05,148.0,True,True,False,True
"Beans, Dry, Flor de Mayo (0% moisture)",23.3,0.0,,,4.47,180.0,True,True,False,True
"Beans, Dry, Brown (0% moisture)",25.6,0.0,,,4.7,158.0,True,True,False,True
"Beans, Dry, Tan (0% moisture)",26.8,0.0,,,5.85,178.0,True,True,False,True
"Beans, Dry, Light Tan (0% moisture)",24.6,0.0,,,7.29,98.0,True,True,False,True
"Beans, Dry, Carioca (0% moisture)",25.2,0.0,,,5.87,194.0,True,True,False,True
